id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
568;Morón;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;10;46
015;Concordia;30;Entre Ríos;2024;Dengue;10;De 35 a 44 años;15;33
126;San Alberto;14;Córdoba;2024;Dengue;10;De 35 a 44 años;12;12
105;San Jerónimo;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;18;6
252;Escobar;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;8;7
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;6;9
063;Ramón Lista;34;Formosa;2024;Dengue;11;De 45 a 65 años;3;2
007;Burruyacú;90;Tucumán;2024;Dengue;7;De 15 a 19 años;13;30
077;Rawson;70;San Juan;2024;Dengue;11;De 45 a 65 años;16;26
252;Escobar;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;17;8
113;Villaguay;30;Entre Ríos;2024;Dengue;10;De 35 a 44 años;10;20
112;O'Higgins;22;Chaco;2024;Dengue;11;De 45 a 65 años;5;22
012;COMUNA 12;02;CABA;2024;Dengue;9;De 25 a 34 años;13;12
028;Cruz del Eje;14;Córdoba;2024;Dengue;6;De 10 a 14 años;19;6
515;Malvinas Argentinas;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;6;7
042;Pilagás;34;Formosa;2024;Dengue;11;De 45 a 65 años;11;6
274;Florencio Varela;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;12;66
084;Guasayán;86;Santiago del Estero;2024;Dengue;11;De 45 a 65 años;9;1
014;Cruz Alta;90;Tucumán;2024;Dengue;10;De 35 a 44 años;13;114
014;Capital;46;La Rioja;2024;Dengue;5;De 5 a 9 años;12;73
035;Banda;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;17;38
126;San Alberto;14;Córdoba;2024;Dengue;12;Mayores de 65 años;17;6
252;Escobar;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;10;15
063;Marcos Juárez;14;Córdoba;2024;Dengue;12;Mayores de 65 años;7;1
168;Santo Tomé;18;Corrientes;2024;Dengue;10;De 35 a 44 años;17;12
861;Vicente López;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;6;9
182;Unión;14;Córdoba;2024;Dengue;5;De 5 a 9 años;11;10
035;Banda;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;10;41
140;San Fernando;22;Chaco;2024;Dengue;5;De 5 a 9 años;8;34
028;Almirante Brown;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;18;6
070;Leandro N. Alem;54;Misiones;2024;Dengue;9;De 25 a 34 años;14;1
119;San Lorenzo;82;Santa Fe;2024;Dengue;10;De 35 a 44 años;8;36
056;Pirané;34;Formosa;2024;Dengue;11;De 45 a 65 años;4;51
274;Florencio Varela;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;14;6
084;Paraná;30;Entre Ríos;2024;Dengue;10;De 35 a 44 años;14;71
028;Capital;70;San Juan;2024;Dengue;8;De 20 a 24 años;20;1
042;Eldorado;54;Misiones;2024;Dengue;11;De 45 a 65 años;2;11
410;Ituzaingó;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;8;9
056;Leales;90;Tucumán;2024;Dengue;12;Mayores de 65 años;12;15
042;Eldorado;54;Misiones;2024;Dengue;5;De 5 a 9 años;9;35
581;Necochea;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;11;2
658;Quilmes;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;11;21
105;San Jerónimo;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;12;9
007;Calamuchita;14;Córdoba;2024;Dengue;8;De 20 a 24 años;14;17
007;Capital;50;Mendoza;2024;Dengue;11;De 45 a 65 años;16;11
441;La Plata;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;8;23
560;Moreno;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;11;134
014;Formosa;34;Formosa;2024;Dengue;12;Mayores de 65 años;12;3
021;Chicligasta;90;Tucumán;2024;Dengue;11;De 45 a 65 años;16;43
140;San Justo;14;Córdoba;2024;Dengue;5;De 5 a 9 años;11;70
014;Ancasti;10;Catamarca;2024;Dengue;5;De 5 a 9 años;13;1
462;Leandro N. Alem;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;13;2
042;General San Martín;14;Córdoba;2024;Dengue;8;De 20 a 24 años;11;40
028;Guaymallén;50;Mendoza;2024;Dengue;6;De 10 a 14 años;11;14
760;San Miguel;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;6;10
056;Pirané;34;Formosa;2024;Dengue;8;De 20 a 24 años;13;5
515;Malvinas Argentinas;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;12;24
091;Simoca;90;Tucumán;2024;Dengue;4;De 2 a 4 años;13;3
021;Colón;14;Córdoba;2024;Dengue;5;De 5 a 9 años;16;19
014;Formosa;34;Formosa;2024;Dengue;4;De 2 a 4 años;1;14
210;Chacabuco;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;12;2
105;Río Primero;14;Córdoba;2024;Dengue;12;Mayores de 65 años;16;19
028;Famaillá;90;Tucumán;2024;Dengue;10;De 35 a 44 años;14;9
091;Berazategui;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;8;6
001;COMUNA 1;02;CABA;2024;Dengue;9;De 25 a 34 años;8;118
133;San Javier;14;Córdoba;2024;Dengue;9;De 25 a 34 años;11;7
408;Hurlingham;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;14;34
042;Eldorado;54;Misiones;2024;Dengue;11;De 45 a 65 años;13;23
001;COMUNA 1;02;CABA;2024;Dengue;7;De 15 a 19 años;19;19
049;Pilcomayo;34;Formosa;2024;Dengue;10;De 35 a 44 años;7;5
560;Moreno;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;10;63
049;Las Heras;50;Mendoza;2024;Dengue;8;De 20 a 24 años;14;24
427;La Matanza;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;6;29
070;Monteros;90;Tucumán;2024;Dengue;11;De 45 a 65 años;6;4
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;9;4
049;Gualeguay;30;Entre Ríos;2024;Dengue;6;De 10 a 14 años;12;1
007;Calamuchita;14;Córdoba;2024;Dengue;10;De 35 a 44 años;15;12
760;San Miguel;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;13;49
049;La Cocha;90;Tucumán;2024;Dengue;11;De 45 a 65 años;13;30
